time,NAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,Nina_index,DEW_ave,TEMP_ave,RH_ave,DEW_max,TEMP_max,RH_max,sp_ave,tcc_ave,tp_sum,ws_ave,wd_ave
3/12/1990,TSN,10.818797,106.651856,1990,3,12,0.04,21.9030303,28.13030303,69.76642735,24,34,94.18534382,101.171531,0.400625851,0.001844887,1.819238571,101.2601631
3/13/1990,TSN,10.818797,106.651856,1990,3,13,0.04,21.092,28.596,64.8037787,22,33.3,83.43764449,101.1558935,0.832971861,0.000186904,2.214786242,103.6284692
3/14/1990,TSN,10.818797,106.651856,1990,3,14,0.04,20.5,28.97575758,62.01170065,22.2,34,83.43764449,101.162524,0.405851826,3.94E-05,3.288518219,114.0432436
3/15/1990,TSN,10.818797,106.651856,1990,3,15,0.04,19.65135135,29.28108108,58.14701692,22,34,83.43764449,101.170771,0.088986153,1.83E-05,3.339993031,109.9776346
3/16/1990,TSN,10.818797,106.651856,1990,3,16,0.04,20.43461538,29.03846154,61.17225937,21.2,33,83.32391016,101.2277815,0.368696398,0.000360928,2.87543133,97.16622042
3/17/1990,TSN,10.818797,106.651856,1990,3,17,0.04,18.75625,29.165625,56.04962481,21.2,35,81.16878598,101.1796558,0.158748308,2.99E-05,2.155086785,105.6770745
3/18/1990,TSN,10.818797,106.651856,1990,3,18,0.04,19.95675676,28.4027027,61.68484851,22,33.1,88.5887773,101.1531298,0.323706452,5.99E-05,2.283521235,109.1170387
3/19/1990,TSN,10.818797,106.651856,1990,3,19,0.04,19.79666667,29.07666667,59.64332771,22.5,34.3,82.8714181,101.0879927,0.272776629,3.81E-07,1.713430282,152.905024
3/20/1990,TSN,10.818797,106.651856,1990,3,20,0.04,20.76285714,29.37142857,60.88471782,21.4,34.2,78.47891127,101.0494896,0.277084679,5.03E-05,2.21251753,100.9474984
3/21/1990,TSN,10.818797,106.651856,1990,3,21,0.04,21.13823529,29.22941176,62.72990356,25.6,33,91.51832821,101.0503367,0.646067441,5.75E-05,3.105201177,132.2055061
3/22/1990,TSN,10.818797,106.651856,1990,3,22,0.04,21.98461538,29.16923077,66.62623964,25,34,88.82674227,101.0564969,0.373959748,0.000148407,2.762793399,135.0038423
3/23/1990,TSN,10.818797,106.651856,1990,3,23,0.04,21.99473684,28.80789474,67.96739835,24,34,84.0577672,100.9769973,0.393607633,0.000386559,2.779093539,142.2657969
3/24/1990,TSN,10.818797,106.651856,1990,3,24,0.04,22.58461538,29.2,68.00348211,24.3,33,88.2488942,100.9103177,0.29223996,0.000495569,2.217993291,150.7959553
3/25/1990,TSN,10.818797,106.651856,1990,3,25,0.04,22.74722222,29.61388889,67.9038603,24.3,34,88.6689178,100.8552788,0.312669732,0.001097846,2.333242429,157.845685
3/26/1990,TSN,10.818797,106.651856,1990,3,26,0.04,22.16969697,29.81818182,65.68654134,24,35,94.18534382,100.8633333,0.21560163,6.89E-05,2.499102436,140.5544762
3/27/1990,TSN,10.818797,106.651856,1990,3,27,0.04,22.63611111,29.46944444,67.63586882,24,35,88.74823581,100.9188775,0.43660715,0.000496699,3.606046965,132.0426774
3/28/1990,TSN,10.818797,106.651856,1990,3,28,0.04,21.8,29.37241379,65.80590828,23.3,35,88.6689178,101.014596,0.315121035,3.43E-07,3.865735828,132.3331499
3/29/1990,TSN,10.818797,106.651856,1990,3,29,0.04,22.56666667,29.85555556,66.85277911,23.3,39,88.6689178,100.9563046,0.327208213,7.85E-05,3.277384181,130.7658994
3/30/1990,TSN,10.818797,106.651856,1990,3,30,0.04,21.84545455,28.9969697,66.63315554,24,34,83.43764449,100.9736567,0.15927015,4.83E-05,3.071247382,138.9089783
3/31/1990,TSN,10.818797,106.651856,1990,3,31,0.04,22.515,28.9825,69.41365283,23.4,33,88.6689178,100.8944033,0.245218725,5.73E-05,2.915682279,143.2809402
4/1/1990,TSN,10.818797,106.651856,1990,4,1,0.08,21.98181818,29.94242424,63.96645208,24.4,34.6,87.6089308,100.880094,0.186326339,2.12E-05,2.186811361,157.663465
4/2/1990,TSN,10.818797,106.651856,1990,4,2,0.08,22.92162162,29.7027027,68.68230735,24.4,35,85.19305485,100.8459787,0.445280387,0.000553037,2.59258427,149.6648489
4/3/1990,TSN,10.818797,106.651856,1990,4,3,0.08,23.46666667,30.43055556,68.22587177,25,36,94.22722497,100.8772608,0.765397581,0.000217106,2.632049144,142.8807991
4/4/1990,TSN,10.818797,106.651856,1990,4,4,0.08,23.375,30.00555556,68.94497814,25,35,85.23353894,100.839844,0.425115361,0.000373093,3.287907065,129.9315119
4/5/1990,TSN,10.818797,106.651856,1990,4,5,0.08,20.92222222,30.425,58.73537743,22.4,36,78.62097698,100.8889286,0.166974221,0,2.347308776,92.25650909
4/6/1990,TSN,10.818797,106.651856,1990,4,6,0.08,20.659375,30.7625,55.87022965,23,35,73.47796634,100.8178593,0.585461955,8.85E-05,2.226259653,82.29672574
4/7/1990,TSN,10.818797,106.651856,1990,4,7,0.08,21.14,29.96,61.39927435,23.2,35.1,83.55026065,100.8714315,0.692718462,0.000971616,2.521292909,104.3668402
4/8/1990,TSN,10.818797,106.651856,1990,4,8,0.08,22.28205128,29.74615385,65.42749009,24,33,83.66177262,100.7912608,0.962713209,0.000153102,2.697041121,105.9301469
4/9/1990,TSN,10.818797,106.651856,1990,4,9,0.08,20.8425,30.155,59.92547599,25,35,88.6689178,100.5908488,0.53774897,8.13E-06,3.90829068,119.8133031
4/10/1990,TSN,10.818797,106.651856,1990,4,10,0.08,22.28974359,30.04358974,65.53944767,24.1,36,88.74823581,100.4918275,0.250973216,9.59E-06,3.181601827,135.3058886
4/11/1990,TSN,10.818797,106.651856,1990,4,11,0.08,23.92647059,30.47352941,69.09651615,25,35,88.82674227,100.540166,0.384669252,0.000518618,2.480657667,149.2701856
4/12/1990,TSN,10.818797,106.651856,1990,4,12,0.08,23.88857143,30.64857143,68.38521049,25.1,35,88.82674227,100.5773602,0.623992023,0.000273317,2.372044209,161.9694234
4/13/1990,TSN,10.818797,106.651856,1990,4,13,0.08,24.53571429,29.02857143,77.66510609,26,34.1,94.26865994,100.7091617,0.767737433,0.002224397,2.336206268,149.5996216
4/14/1990,TSN,10.818797,106.651856,1990,4,14,0.08,24.08148148,29.42222222,74.11761238,25.1,33.1,88.8345487,100.6863431,0.70569809,0.000866263,3.023521181,144.1247796
4/15/1990,TSN,10.818797,106.651856,1990,4,15,0.08,24.535,30.415,71.65328263,25,35,88.74823581,100.6928956,0.764568204,0.00431612,2.242412096,165.1957872
